Faculty Directory Homepage,FacultyPage,Label
https://www.csd.cs.cmu.edu/directory/faculty,1,FacultyDirectoryPage
https://www.cs.stanford.edu/directory/faculty,1,FacultyDirectoryPage
https://cs.uic.edu/faculty-staff/faculty/,1,FacultyDirectoryPage
https://www.cs.uchicago.edu/people/faculty/,1,FacultyDirectoryPage
https://cs.vt.edu/People/Faculty.html,1,FacultyDirectoryPage
https://www.cs.purdue.edu/people/faculty/index.html,1,FacultyDirectoryPage
https://www.cs.washington.edu,1,FacultyDirectoryPage
https://www.eecs.mit.edu/people/faculty-advisors,1,FacultyDirectoryPage
https://www.scs.gatech.edu/people/faculty,1,FacultyDirectoryPage
https://www.cs.ucla.edu/faculty/,1,FacultyDirectoryPage
https://www.cs.utexas.edu/faculty,1,FacultyDirectoryPage
https://www.cs.wisc.edu/people/faculty/,1,FacultyDirectoryPage
https://www2.eecs.berkeley.edu/Faculty/Lists/CS/faculty.html,1,FacultyDirectoryPage
http://www.cms.caltech.edu/people,1,FacultyDirectoryPage
https://www.cs.cornell.edu/people/faculty,1,FacultyDirectoryPage
https://www.colorado.edu/cs/faculty,1,FacultyDirectoryPage
http://www.cse.msu.edu/People/,1,FacultyDirectoryPage
http://www.cis.upenn.edu/about-people/index.php,1,FacultyDirectoryPage
http://www.eecs.umich.edu/eecs/faculty/csefaculty.html,1,FacultyDirectoryPage
http://cs.ua.edu/people/,1,FacultyDirectoryPage
https://www.cl.cam.ac.uk/people/academic.html,1,FacultyDirectoryPage
https://cis.unimelb.edu.au/people/,1,FacultyDirectoryPage
https://csweb.rice.edu/faculty,1,FacultyDirectoryPage
http://web.cs.toronto.edu/people/faculty.htm,1,FacultyDirectoryPage
http://www.cs.uga.edu/faculty-directory,1,FacultyDirectoryPage
https://www.cs.jhu.edu/faculty/,1,FacultyDirectoryPage
https://www.cs.ubc.ca/our-department/people/faculty,1,FacultyDirectoryPage
https://www.cs.usc.edu/directory/faculty/,1,FacultyDirectoryPage
https://cs.unc.edu/people-page/faculty/,1,FacultyDirectoryPage
https://www.seas.harvard.edu/computer-science/people,1,FacultyDirectoryPage
https://www.cs.ucdavis.edu/people/faculty/,1,FacultyDirectoryPage
https://www.depts.ttu.edu/cs/faculty/,1,FacultyDirectoryPage
http://www.cs.ox.ac.uk/people/faculty.html,1,FacultyDirectoryPage
https://cse.ucsd.edu/people/faculty-profiles/faculty,1,FacultyDirectoryPage
https://cs.sfsu.edu/people/faculty-and-staff,1,FacultyDirectoryPage
https://cse.osu.edu/about-us/faculty,1,FacultyDirectoryPage
http://www.cs.rochester.edu/wcms/people/faculty/,1,FacultyDirectoryPage
https://www.cs.duke.edu/people/faculty,1,FacultyDirectoryPage
https://www.cs.ucsb.edu/people,1,FacultyDirectoryPage
http://www.ou.edu/coe/cs/people,1,FacultyDirectoryPage
https://cpsc.yale.edu/people/faculty,1,FacultyDirectoryPage
https://www.cs.princeton.edu/people/faculty,1,FacultyDirectoryPage
http://cs.brown.edu/people/faculty/,1,FacultyDirectoryPage
https://www.bu.edu/cs/people/faculty/,1,FacultyDirectoryPage
https://www.cs.columbia.edu/people/faculty/,1,FacultyDirectoryPage
https://cs.nyu.edu/,1,FacultyDirectoryPage
https://www.khoury.northeastern.edu/role/teaching-faculty/,1,FacultyDirectoryPage
https://www.uwgb.edu/computer-science/faculty-staff/,1,FacultyDirectoryPage
https://www.cis.fiu.edu/people/faculty/,1,FacultyDirectoryPage
https://engineering.tufts.edu/cs/people/faculty,1,FacultyDirectoryPage
https://cs.georgetown.edu/people/faculty,1,FacultyDirectoryPage
http://www.ese.upenn.edu/about-people/index.php,1,FacultyDirectoryPage
https://www.csc.ncsu.edu/directories/faculty.php,1,FacultyDirectoryPage
https://www.ics.uci.edu/faculty/,1,FacultyDirectoryPage
https://science.rpi.edu/computer-science/faculty,1,FacultyDirectoryPage
https://www.soe.ucsc.edu/departments/computer-science-engineering/people/faculty,1,FacultyDirectoryPage
https://www.cs.stonybrook.edu/people/faculty,1,FacultyDirectoryPage
https://www.cs.umn.edu/people/faculty,1,FacultyDirectoryPage
https://www.cs.umd.edu/people/faculty,1,FacultyDirectoryPage
https://www.pomona.edu/academics/departments/computer-science/faculty-staff,1,FacultyDirectoryPage
https://www.ed.ac.uk/informatics/people/academic,1,FacultyDirectoryPage
https://www.cs.mcgill.ca/people/faculty/,1,FacultyDirectoryPage
https://cidse.engineering.asu.edu/facultyandresearch/directory/faculty/,1,FacultyDirectoryPage
https://csc.as.miami.edu/people/index.html,1,FacultyDirectoryPage
https://www.marquette.edu/mscs/facstaff-fac-directory.shtml,1,FacultyDirectoryPage
https://engineering.vanderbilt.edu/eecs/faculty-staff/index.php,1,FacultyDirectoryPage
https://www.eecs.psu.edu/departments/cse-faculty-list.aspx,1,FacultyDirectoryPage
http://www.sjsu.edu/cs/community/faculty/index.html,1,FacultyDirectoryPage
